rubric,candidate,n,mae,exact,kappa_quad
MCt,"max(Q,L,M)",1494,0.809,0.307,0.239
MCu,Qwen (solo),1466,0.256,0.774,0.599
MCu,Llama (solo),1466,0.628,0.425,0.473
MCu,Mistral (solo),1466,0.285,0.742,0.562
MCu,"mean(Q,L)",1466,0.301,0.731,0.516
MCu,"min(Q,L)",1466,0.229,0.785,0.711
MCu,"mean(Q,L,M)",1466,0.221,0.799,0.663
MCu,"median(Q,L,M)",1466,0.233,0.793,0.627
MCu,"min(Q,L,M)",1466,0.266,0.748,0.676
MCu,"max(Q,L,M)",1466,0.671,0.399,0.368
MS,Qwen (solo),1518,0.0,1.0,
MS,Llama (solo),1518,0.0,1.0,
MS,Mistral (solo),1518,0.0,1.0,
MS,"mean(Q,L)",1518,0.0,1.0,
MS,"min(Q,L)",1518,0.0,1.0,
MS,"mean(Q,L,M)",1518,0.0,1.0,
MS,"median(Q,L,M)",1518,0.0,1.0,
MS,"min(Q,L,M)",1518,0.0,1.0,
MS,"max(Q,L,M)",1518,0.0,1.0,
QLl,Qwen (solo),507,0.46,0.568,0.37
QLl,Llama (solo),507,0.846,0.367,0.35
QLl,Mistral (solo),507,0.454,0.596,0.476
QLl,"mean(Q,L)",507,0.568,0.46,0.414
QLl,"min(Q,L)",507,0.462,0.594,0.481
QLl,"mean(Q,L,M)",507,0.442,0.58,0.496
QLl,"median(Q,L,M)",507,0.414,0.613,0.516
QLl,"min(Q,L,M)",507,0.454,0.613,0.469
QLl,"max(Q,L,M)",507,0.892,0.304,0.265
QLq,Qwen (solo),1461,0.428,0.578,0.483
QLq,Llama (solo),1461,0.78,0.286,0.303
QLq,Mistral (solo),1461,0.234,0.767,0.535
QLq,"mean(Q,L)",1461,0.47,0.535,0.394
QLq,"min(Q,L)",1461,0.393,0.613,0.519
QLq,"mean(Q,L,M)",1461,0.426,0.578,0.46
QLq,"median(Q,L,M)",1461,0.422,0.582,0.468
QLq,"min(Q,L,M)",1461,0.196,0.807,0.627
QLq,"max(Q,L,M)",1461,0.825,0.242,0.275
SNs,Qwen (solo),1481,0.673,0.706,0.29
SNs,Llama (solo),1481,0.629,0.718,0.277
SNs,Mistral (solo),1481,0.673,0.696,0.281
SNs,"mean(Q,L)",1481,0.571,0.686,0.368
SNs,"min(Q,L)",1481,0.516,0.745,0.227
