rubric,candidate,n,mae,exact,within1,kappa_quad
MCr,llama33 (solo),284,0.613,51.1,89.1,0.534
MCr,mistral (solo),284,0.923,32.0,79.6,0.289
MCr,"mean(Q,L)",284,0.694,38.0,92.6,0.498
MCr,"min(Q,L)",284,0.504,54.9,94.7,0.598
MCr,"max(Q,L)",284,0.919,35.2,75.7,0.352
MCr,"mean(Q,L,M)",284,0.658,42.3,91.9,0.489
MCr,"median(Q,L,M)",284,0.637,46.8,89.4,0.514
MCr,"min(Q,L,M)",284,0.511,54.6,94.4,0.558
MCr,"max(Q,L,M)",284,1.197,20.8,66.2,0.233
MCt,qwen (solo),269,0.309,69.5,99.6,0.641
MCt,llama33 (solo),269,0.513,52.4,97.4,0.541
MCt,mistral (solo),269,0.439,61.3,95.9,0.526
MCt,"mean(Q,L)",269,0.442,56.5,99.3,0.527
MCt,"min(Q,L)",269,0.457,55.8,98.9,0.57
MCt,"max(Q,L)",269,0.364,66.2,98.1,0.593
MCt,"mean(Q,L,M)",269,0.323,68.0,99.6,0.656
MCt,"median(Q,L,M)",269,0.327,68.0,99.6,0.642
MCt,"min(Q,L,M)",269,0.517,52.0,97.0,0.519
MCt,"max(Q,L,M)",269,0.416,63.2,96.3,0.541
MCu,qwen (solo),279,0.466,60.2,93.5,0.628
MCu,llama33 (solo),279,0.717,39.4,89.2,0.572
MCu,mistral (solo),279,0.527,57.7,91.0,0.512
MCu,"mean(Q,L)",279,0.613,42.3,96.4,0.62
MCu,"min(Q,L)",279,0.649,45.9,89.6,0.57
MCu,"max(Q,L)",279,0.534,53.8,93.2,0.624
MCu,"mean(Q,L,M)",279,0.419,61.3,96.8,0.684
MCu,"median(Q,L,M)",279,0.427,61.6,95.7,0.679
MCu,"min(Q,L,M)",279,0.656,45.9,88.9,0.556
MCu,"max(Q,L,M)",279,0.627,49.8,89.2,0.494
MS,qwen (solo),280,0.032,98.6,98.9,-0.002
MS,llama33 (solo),280,0.043,96.8,98.9,-0.004
MS,mistral (solo),280,0.411,83.6,88.9,-0.002
MS,"mean(Q,L)",280,0.032,97.5,99.3,-0.004
MS,"min(Q,L)",280,0.004,99.6,100.0,0.0
MS,"max(Q,L)",280,0.071,95.7,97.9,-0.003
MS,"mean(Q,L,M)",280,0.154,87.1,97.5,-0.005
MS,"median(Q,L,M)",280,0.032,98.2,98.9,-0.003
MS,"min(Q,L,M)",280,0.004,99.6,100.0,0.0
MS,"max(Q,L,M)",280,0.45,81.1,87.9,-0.002
QLl,qwen (solo),282,0.514,54.3,94.3,0.665
QLl,llama33 (solo),282,0.741,45.4,80.9,0.534
QLl,mistral (solo),282,0.582,53.9,90.1,0.589
QLl,"mean(Q,L)",282,0.56,46.8,97.2,0.66
QLl,"min(Q,L)",282,0.794,41.1,79.8,0.459
QLl,"max(Q,L)",282,0.461,58.5,95.4,0.733
QLl,"mean(Q,L,M)",282,0.5,55.0,95.0,0.68
QLl,"median(Q,L,M)",282,0.461,59.2,94.7,0.707
QLl,"min(Q,L,M)",282,0.851,38.3,77.3,0.423
QLl,"max(Q,L,M)",282,0.525,56.0,93.3,0.663
QLq,qwen (solo),276,0.264,73.6,100.0,0.917
QLq,llama33 (solo),276,0.536,55.4,92.8,0.823
QLq,mistral (solo),276,0.446,64.5,93.8,0.813
QLq,"mean(Q,L)",276,0.442,56.9,98.9,0.884
