rubric,model,n,n_total,pct_usable,mae,exact,within1,kappa_quad
AS,qwen,348,350,99.4,0.908,36.5,81.6,0.236
AS,llama33,346,350,98.9,0.74,38.7,88.2,0.444
AS,mistral,288,350,82.3,0.802,38.5,83.7,0.394
AT,qwen,344,350,98.3,0.587,48.5,93.0,0.51
AT,llama33,350,350,100.0,0.577,47.4,94.9,0.57
AT,mistral,259,350,74.0,0.71,43.6,88.4,0.32
CEc,qwen,346,350,98.9,0.717,37.3,91.0,0.464
CEc,llama33,349,350,99.7,0.811,37.2,83.4,0.446
CEc,mistral,300,350,85.7,0.62,47.3,91.7,0.465
CEe,qwen,349,350,99.7,0.484,67.6,85.4,0.422
CEe,llama33,350,350,100.0,0.22,83.7,95.7,0.565
CEe,mistral,293,350,83.7,0.311,75.4,94.9,0.503
CL,qwen,344,350,98.3,0.599,56.4,86.6,0.729
CL,llama33,329,350,94.0,0.912,38.9,76.6,0.519
CL,mistral,281,350,80.3,0.982,38.1,75.8,0.441
KNa,qwen,348,350,99.4,0.589,65.5,87.1,0.729
KNa,llama33,327,350,93.4,0.602,59.3,88.4,0.784
KNa,mistral,291,350,83.1,0.773,59.1,80.1,0.627
KNc,qwen,327,350,93.4,0.752,66.1,79.2,0.434
KNc,llama33,349,350,99.7,0.295,78.5,93.4,0.858
KNc,mistral,260,350,74.3,0.462,79.2,86.5,0.455
KNf,qwen,348,350,99.4,0.371,66.4,97.1,0.914
KNf,llama33,346,350,98.9,0.509,67.6,89.6,0.82
KNf,mistral,277,350,79.1,0.718,54.9,84.1,0.676
KNn,qwen,349,350,99.7,0.309,78.8,96.0,0.893
KNn,llama33,339,350,96.9,0.31,79.1,95.9,0.898
KNn,mistral,291,350,83.1,0.491,73.9,88.3,0.795
KNs,qwen,349,350,99.7,0.269,83.1,92.6,0.68
KNs,llama33,349,350,99.7,0.206,84.2,96.8,0.776
KNs,mistral,295,350,84.3,0.244,86.8,93.2,0.628
MCr,qwen,331,350,94.6,0.782,40.8,82.2,0.381
MCr,llama33,344,350,98.3,0.593,52.3,89.5,0.547
MCr,mistral,307,350,87.7,0.893,33.6,80.8,0.31
MCt,qwen,346,350,98.9,0.303,69.9,99.7,0.695
MCt,llama33,333,350,95.1,0.541,50.5,96.4,0.563
MCt,mistral,288,350,82.3,0.438,61.1,96.2,0.535
MCu,qwen,343,350,98.0,0.484,58.3,93.6,0.677
MCu,llama33,337,350,96.3,0.691,40.1,91.1,0.635
MCu,mistral,298,350,85.1,0.517,58.4,91.3,0.521
MS,qwen,350,350,100.0,0.026,98.9,99.1,-0.002
MS,llama33,348,350,99.4,0.04,96.8,99.1,-0.004
MS,mistral,281,350,80.3,0.409,83.6,89.0,-0.002
QLl,qwen,346,350,98.9,0.474,57.5,95.1,0.716
QLl,llama33,343,350,98.0,0.676,49.0,83.7,0.572
QLl,mistral,290,350,82.9,0.576,54.5,90.0,0.59
QLq,qwen,346,350,98.9,0.289,71.1,100.0,0.917
QLq,llama33,321,350,91.7,0.498,57.9,93.8,0.851
QLq,mistral,303,350,86.6,0.462,63.7,93.4,0.794
SNs,qwen,349,350,99.7,0.327,77.9,92.3,0.734
SNs,llama33,347,350,99.1,0.305,80.1,91.6,0.762
SNs,mistral,286,350,81.7,0.524,71.7,84.3,0.522
VO,qwen,349,350,99.7,0.344,66.5,99.4,0.616
VO,llama33,350,350,100.0,0.451,56.0,99.1,0.565
VO,mistral,285,350,81.4,0.512,55.1,95.1,0.488
