rubric,n,"rWG(Q,L,M,D)"
AS,287,0.855
AT,268,0.897
CEc,287,0.897
CEe,286,0.857
CL,273,0.85
KNa,283,0.463
KNc,274,0.656
KNf,289,0.923
KNn,292,0.851
KNs,295,0.974
MCr,278,0.867
MCt,283,0.942
MCu,286,0.902
MS,279,0.92
QLl,283,0.893
QLq,283,0.9
SNs,285,0.922
VO,294,0.924
